Application,Status,Radar Segment,Impacted by Phoenix,Primary CGL,Original Environment (column to be deleted),Environment,Location,Function,Function Description,Category,AI Enabled,Platform Description,Retirement (This column to be deleted),Lifecycle,Trajectory,Action,Initial Action Timeline,Complete Action Timeline,Bridge Required ,New Platform,New Sub-Module/Application,Comments,Solution Details,Primary SI,Primary Architect,App Owner,Original Tab (for reference),"Found in ""Enterprise Application Inventory""","Found in ""Application Inventory SharePoint""?"
ACE XP,3. GTO Done,Manufacturing,Retired,Yield Analysis,"Corp, Fab7, Giga",Corp,"Fab7, Giga",Manufacturing,Yield Analytics application F7+G,,,Advanced yield analysis and reporting system for resolve yield issues and accelerate yield ramp.,,Legacy,Retire,1:0 - retirement,2023,2023,No,DataLake Redshift,,,,,Andre Holfeld,"Chuah, JyyMing","Manufacturing, Technology & IT",TRUE,TRUE
AceMART,3. GTO Done,Manufacturing,Retired,Yield Analysis,Corp,Corp,"Fab7, Giga",Manufacturing,"Datamart for Mfg data (Inline, FDC, Yield)",,,Web Based Customer Engineering reporting in GFV,,Legacy,Retire,1:0 - retirement,2024,Q2'25,No,DataLake Redshift,,,,,Andre Holfeld,"Chuah, JyyMing","Manufacturing, Technology & IT",TRUE,TRUE
Shiny Cloud,3. GTO Done,Enterprise,N,Yield Analysis,Corp,Corp,,,,Manufacturing,No,Web Based Data Visualization,,Current,Invest ,no change,,,,,,,,,Alex,Brian Trapp,"Manufacturing, Technology & IT",,
YODA (cYODA) Cloud,3. GTO Done,Manufacturing,No,Yield Analysis,Corp,Corp,"Fab7, Giga",Manufacturing,Yield and engineering analysis,Data & Analytics,No,"Yield data, part of Manufacturing Analaltics scope",,Legacy,Retire,1:0 - retirement,2022,Q2'26,No,DataLake Redshift,,,,,Andre Holfeld ,"Chuah, JyyMing","Enterprise, Manufacturing, Technology & IT",,
Common Platform - Engineering,3. GTO Done,Manufacturing,No,Yield Analysis,Corp,Corp,,Manufacturing,,,,Common platform for Customer Engineering Datafeed and reporting,,,Hold,1:N - replacement,TBD,TBD,No,DataLake Redshift,,,,,Andre Holfeld ,Srinivasa Chappalli,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
d3/d Cubed,3. GTO Done,Enterprise,"Delete, N",Yield Analysis,"Corp, Fab1, Fab8",Corp,"Fab1, Fab8","Reporting, Analytics","Yield and engineering analysis (self service, like JMP or PowerBI)",,,Data Visualization for analytics,,Current,Invest ,no change,2023,,No,,,,,,Andre Holfeld ,Broc Stirton,"Manufacturing, Technology & IT",TRUE,TRUE
eDatalyzer,3. GTO Done,Manufacturing,Delete,Yield Analysis,"Corp, Fab7",Corp,Fab7,Manufacturing,,,,BISTel (Synopsys) Trace Data Analyzer,,,,no change,,,,,,"Douglas Chan: Fab7 use for PM Trace Analysis. In future, PE still intent to use it and keep to 5 license",,,Jimmy Goh,"Juliana Puey, Douglas Chan","Manufacturing, Technology & IT",TRUE,TRUE
NEO-F1,3. GTO Done,Manufacturing,"Delete, N",Yield Analysis,"Corp, Fab1",Corp,Fab1,Manufacturing,Yield and engineering data mart,,,Yield DWH,,Legacy,Assess,no change,Q4'25,TBD,No,DataLake Redshift,,,,,Andre Holfeld ,Michael Arps,"Manufacturing, Technology & IT",TRUE,TRUE
Shiny - Cloud,3. GTO Done,Manufacturing,No,Yield Analysis,Corp,Corp,"Fab1, Fab7, Fab8, Fab9, Giga","Reporting, Analytics",Yield and engineering analysis,Manufacturing,,Web Based Data Visualization,,Current,Invest ,N:1 - consolidation,,,,,,,,,Andre Holfeld ,Brian Trapp,Enterprise,,
Shiny-F8/9,3. GTO Done,Manufacturing,No,Yield Analysis,"Corp, Fab8, Fab9",Corp,"Fab8, Fab9","Reporting, Analytics",Yield and engineering analysis,Manufacturing,No,Web Based Data Visualization,,Nearing EOL,Replace,1:N - replacement,TBD,TBD,No,Shiny Cloud,,,,,Andre Holfeld ,Brian Trapp,"Manufacturing, Technology & IT",TRUE,TRUE
Shiny-SGP Site,3. GTO Done,Manufacturing,No,Yield Analysis,"Corp, Fab7, Giga",Corp,"Fab7, Giga","Reporting, Analytics",Yield and engineering analysis,Manufacturing,,Web Based Data Visualization,,Nearing EOL,Replace,1:N - replacement,TBD,TBD,No,Shiny Cloud,,,,,Andre Holfeld ,Brian Trapp,"Manufacturing, Technology & IT",TRUE,TRUE
"UCS-F1, F8, F9",3. GTO Done,Manufacturing,No,Yield Analysis,"Corp, Fab1, Fab8, Fab9, Giga",Corp,"Fab1, Fab8, Fab9, Giga",Manufacturing,Wafer Layout Master Data,,,Universal wafer coordinate system,,Current,Invest ,N:1 - consolidation,TBD,TBD,No,ONEGF UCS,,,,,Andre Holfeld ,Pavan Kumar Guthikonda,"Manufacturing, Technology & IT",,
"UCS-F7, GIGA+",3. GTO Done,Manufacturing,No,Yield Analysis,"Corp, Fab7",Corp,Fab7,Manufacturing,Wafer Layout Master Data,,,Universal wafer coordinate system,,Current,Invest ,N:1 - consolidation,TBD,TBD,No,ONEGF UCS,,,,,Andre Holfeld ,Pavan Kumar Guthikonda,"Manufacturing, Technology & IT",,
YE Internet Apps-F1,3. GTO Done,Manufacturing,"Delete, N",Yield Analysis,"Corp, Fab1",Corp,Fab1,Manufacturing,Yield and engineering analysis,,,Yield Portal,,Current,Invest ,N:1 - consolidation,TBD,TBD,No,ONEGF rollout / consolidation into DataLake,,,,,Andre Holfeld ,Michael Arps,"Manufacturing, Technology & IT",TRUE,TRUE
Yield Portal Dasboard / Database-F7,3. GTO Done,Manufacturing,Delete,Yield Analysis,"Corp, Fab7",Corp,Fab7,Manufacturing,,Data & Analytics,No,/,,Current,Hold,no change,,,,,,"From Juliana Puey, Fab7 Yield Portal still in use.  Will be in use for next few years.",,,Jimmy Goh,Juliana Puey,"Manufacturing, Technology & IT",TRUE,TRUE
YMS One Stop Tools-Giga,3. GTO Done,Manufacturing,Delete,Yield Analysis,"Corp, Giga",Corp,Giga,Manufacturing,,Data & Analytics,No,Yield Portal. In house developed scripts for PI/YE to improve productivity and quality,,Current,Hold,no change,,,,,,App owner changed from Kimmy Ang to Lim Tiang Hong,,,Jimmy Goh,Lim Tiang Hong,"Manufacturing, Technology & IT",TRUE,TRUE
SPACE-ETEST,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab7, Fab8",Prod,"Fab1, Fab7, Fab8",Manufacturing,SPC,Manufacturing,,SPC system for ETEST Process & Tools Quality Control (Camline SPACE Product),,Current,Invest ,no change,,,,,,No Change,,,Dirk Wollstein,Relator Rommel Sarabia,"Manufacturing, Technology & IT",TRUE,TRUE
CPDI-Mfg-F8 and F1,3. GTO Done,Manufacturing,Delete,Systems and Data Integration,"Corp, Fab8",Prod,"Fab8, Fab1","Reporting, Analytics",Data staging and ETL,Manufacturing,No,Common Platform Loader for Mfg wip and master data,R6,Current,Retire,1:N - replacement,Q1'26,,,PDFS SMH,,Obsoletion with SAP S4 / PDFS integration,,GF,Andre Holfeld ,James Zeim,"Manufacturing, Technology & IT",,
PFS-Quotation,1. Not Started,,Y,Turnkey,Corp,Corp,,,,,,PFS quotation preparation worklist tracking for collaboration and approval,,,,,,,,,,,,,,Avula Ramana Kumar,Enterprise,,
PFS-Quotation App,5. Duplicate App,,,Turnkey,Corp,Corp,,,,,,PFS quotation preparation worklist tracking for collaboration and approval,,,,,,,,,,,,,Alex,Avula Ramana Kumar,"Manufacturing, Technology & IT",TRUE,TRUE
WDS App,5. Duplicate App,,Delete,Turnkey,Corp,Corp,,,,,,Wafer Disposition System,,,,,,,,,,,,,,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
JTask,1. Not Started,,Delete,TEST,"Corp, Fab1, Fab7, Fab8, Giga",Corp,"Fab1, Fab7, Fab8, Giga",,,,,"ok, Engineering Data Integration (Sort Test, Etest, Parametric Test, Final Test)",,,,,,,,,,,,,,"Rainer Richter, CHUAH, Jyy Ming","Manufacturing, Technology & IT",TRUE,TRUE
GEM-D-F1,3. GTO Done,Manufacturing,"Delete, N",Systems and Data Integration,"Corp, Fab1",Prod,Fab1,Manufacturing,ETL Staging Layer (transaction logs),,Potential,GG Replication Staging for ETL to target DWHs (supporting GMIW/pDWH etc),,Current,Invest ,no change,,,,,,,,,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
TESTWORLD,1. Not Started,,,Test,"Corp, Fab9",Corp,Fab9,,,,,,,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
TOPS,1. Not Started,,Delete,Test,"Corp, Fab9",Corp,Fab9,,,,,,,,,,,,,,,,,,,Tim Barritt,"Manufacturing, Technology & IT",TRUE,TRUE
Turnkey Engineering,1. Not Started,,N,TESt,Corp,Corp,,,,,,"In-house Pickmap, inklessmap, emap checker",,,,,,,,,,,,,,"AUNG, Thwin Min",Enterprise,,
Turnkey Engineering App,5. Duplicate App,,,TESt,Corp,Corp,,,,,,"In-house Pickmap, inklessmap, emap checker",,,,,,,,,,,,,Alex,"AUNG, Thwin Min","Manufacturing, Technology & IT",TRUE,TRUE
AbInitio,3. GTO Done,Technology & IT,N,Systems and Data Integration,Corp,Corp,,,,Integration,No,"ETL for Corporate Data Warehouse
ETL for GMIW: pDWH, Sapphire
",,Nearing EOL,Retire,1:N - replacement,,,No,Streamsets/EMR,,9/25/23 - AlexF - Not a business App,,,Andre Hofeld,James Zeim,"Enterprise, Manufacturing, Technology & IT",,
GEM-D-F7,3. GTO Done,Manufacturing,Delete,Systems and Data Integration,"Corp, Fab7",Prod,Fab7,Manufacturing,ETL Staging Layer (transaction logs),,Potential,GG Replication Staging for ETL to target DWHs (supporting GMIW/pDWH etc),,Current,Invest ,no change,,,,,,,,,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
FEDEx-F1,1. Not Started,,Delete,Systems and Data Integration,"Corp, Fab1",Corp,Fab1,,,,,AMD Customer File Feeding,,,,,,,,,,,,,,Xia Wan,"Manufacturing, Technology & IT",TRUE,TRUE
GEM-D-F8 ,3. GTO Done,Manufacturing,No,Systems and Data Integration,Fab8,Prod,Fab8,"Reporting, Analytics",ETL Staging Layer (transaction logs),Manufacturing,No,GG Replication Staging for ETL to target DWHs (supporting GMIW/pDWH etc) - Used in FAB 8 as part of the manufacturing control systems,,Current,Invest ,no change,,,,,,,,GF,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",,
GMIW-F9,3. GTO Done,Manufacturing,Delete,Systems and Data Integration,"Corp, Fab9",Corp,Fab9,"Reporting, Analytics",Yield and engineering analysis,,,Engineering Data Warehouse,,Legacy,Retire,1:0 - retirement,2024,Q4'26,No,DataLake Redshift,,This is a DB not an application,,,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
HDS,3. GTO Done,Manufacturing,"Delete, N",Systems and Data Integration,"Corp, Fab1",Corp,"Fab1,Fab8 ","Reporting, Analytics",3 years of production logistic data (WIP),Manufacturing,No,"Historical Data Store, Longer range data retention than MDS(following SiView purging 3months after finish)",,Current,Assess,no change,,,,,,This is a DB not an application,,,Torsten Happ,Andreas Kirchberg,"Manufacturing, Technology & IT",,
GMIW-F10,2. WIP,,Delete,Systems and Data Integration,"Corp, Fab9",Corp,Fab9,,,,,Engineering Data Warehouse,,,,,,,,,,This is a DB not an application,,,,Alan Wisell,"Manufacturing, Technology & IT",TRUE,TRUE
